అ	a
ఆపివేసి	aa p i w ee s i
ఆపించాలన్నారు	aa p i q c aa l a n n aa r u
ఆపు	aa p u
ఆపుకున్న	aa p u k u n n a
ఆపుకుండా	aa p u k u q dx aa
ఆపుచేయగలరు	aa p u c ee y a g a l a r u
ఆపుతున్నారు	aa p u t u n n aa r u
ఆపే	aa p ee
ఆపేది	aa p ee d i
ఆపేయడం	aa p ee y a dx a q
ఆపేశారు	aa p ee sh aa r u
ఆపేశాం	aa p ee sh aa q
ఆపేసారు	aa p ee s aa r u
ఆపేసి	aa p ee s i
ఆపేసింది	aa p ee s i q d i
ఆపేస్తామని	aa p ee s t aa m a n i
ఆపేస్తున్నారని	aa p ee s t u n n aa r a n i
ఆపేస్తున్నారన్నారు	aa p ee s t u n n aa r a n n aa r u
ఆపేంతవరకు	aa p ee q t a w a r a k u
ఆప్	aa p
ఆప్కో	aa p k oo
ఆప్ఘనిస్తాన్	aa p gh a n i s t aa n
ఆప్ఘనిస్థాన్	aa p gh a n i s th aa n
ఆప్తుడన్నారు	aa p t u dx a n n aa r u
ఆప్తులను	aa p t u l a n u
ఆప్పుడేమో	aa p p u dx ee m oo
ఆప్యాయత	aa p y aa y a t a
ఆప్యాయతంగా	aa p y aa y a t a q g aa
ఆప్యాయంగా	aa p y aa y a q g aa
ఆప్షన్	aa p sx a n
ఆప్సన్స్	aa p s a n s
ఆఫర్	aa ph a r
ఆఫర్తో	aa ph a r t oo
ఆఫర్లపై	aa ph a r l a p ai
ఆఫర్లు	aa ph a r l u
ఆఫీసు	aa ph ii s u
ఆఫీసుకు	aa ph ii s u k u
ఆఫ్	aa ph
ఆఫ్ఘన్	aa ph gh a n
ఆఫ్రికాలోని	aa ph r i k aa l oo n i
ఆభరణాల	aa bh a r a nx aa l a
ఆభరణాలను	aa bh a r a nx aa l a n u
ఆభరణాలు	aa bh a r a nx aa l u
ఆమడుదూరంలో	aa m a dx u d uu r a q l oo
ఆమదాలవలసలోని	aa m a d aa l a w a l a s a l oo n i
ఆమరణ	aa m a r a nx a
ఆమరణదీక్ష	aa m a r a nx a d ii k sx a
ఆమె	aa m e
ఆమెకి	aa m e k i
ఆమెకు	aa m e k u
ఆమెతో	aa m e t oo
ఆమెతోపాటు	aa m e t oo p aa tx u
ఆమెని	aa m e n i
ఆమెను	aa m e n u
ఆమెనే	aa m e n ee
ఆమెపై	aa m e p ai
ఆమే	aa m ee
ఆమోద	aa m oo d a
ఆమోదయోగ్యమైన	aa m oo d a y oo g y a m ai n a
ఆమోదిస్తు	aa m oo d i s t u
ఆమోదిస్తే	aa m oo d i s t ee
ఆమోదించడంవల్లనే	aa m oo d i q c a dx a q w a l l a n ee
ఆమోదించారు	aa m oo d i q c aa r u
ఆమోదించాలని	aa m oo d i q c aa l a n i
ఆమోదించాలి	aa m oo d i q c aa l i
ఆమోదించి	aa m oo d i q c i
ఆమోదించిన	aa m oo d i q c i n a
ఆమోదించింది	aa m oo d i q c i q d i
ఆమోదించుకుంటే	aa m oo d i q c u k u q tx ee
ఆమోదించేది	aa m oo d i q c ee d i
ఆమోదింప	aa m oo d i q p a
ఆమోదం	aa m oo d a q
ఆమ్	aa m
ఆమ్మాయి	aa m m aa y i
ఆమ్మాయ్	aa m m aa y
ఆమ్లా	aa m l aa
ఆమ్లాల	aa m l aa l a
ఆయ	aa y a
ఆయకట్టు	aa y a k a tx tx u
ఆయకట్టుకు	aa y a k a tx tx u k u
ఆయకట్టును	aa y a k a tx tx u n u
ఆయడ్ని	aa y a dx n i
ఆయతుల్లా	aa y a t u l l aa
ఆయన	aa y a n a
ఆయనకి	aa y a n a k i
ఆయనకీ	aa y a n a k ii
ఆయనకు	aa y a n a k u
ఆయనకున్న	aa y a n a k u n n a
ఆయనకే	aa y a n a k ee
ఆయనజాబితాలో	aa y a n a j aa b i t aa l oo
ఆయనఢిల్లీలో	aa y a n a dxh i l l ii l oo
ఆయనతో	aa y a n a t oo
ఆయనతోనే	aa y a n a t oo n ee
ఆయనను	aa y a n a n u
ఆయననే	aa y a n a n ee
ఆయనపై	aa y a n a p ai
ఆయనలో	aa y a n a l oo
ఆయనలోని	aa y a n a l oo n i
ఆయనా	aa y a n aa
ఆయనే	aa y a n ee
ఆయనేనని	aa y a n ee n a n i
ఆయనేమో	aa y a n ee m oo
ఆయన్తో	aa y a n t oo
ఆయన్ని	aa y a n n i
ఆయన్ను	aa y a n n u
ఆయన్లో	aa y a n l oo
ఆయా	aa y aa
ఆయాప్రాంతాల్లో	aa y aa p r aa q t aa l l oo
ఆయాశాఖల	aa y aa sh aa kh a l a
ఆయాసం	aa y aa s a q
ఆయితది	aa y i t a d i
ఆయినా	aa y i n aa
ఆయింటి	aa y i q tx i
ఆయీవుండి	aa y ii w u q dx i
ఆయుత	aa y u t a
ఆయుధాలకు	aa y u dh aa l a k u
ఆయుధాలతో	aa y u dh aa l a t oo
ఆయుధాలతోను	aa y u dh aa l a t oo n u
ఆయుధాలను	aa y u dh aa l a n u
ఆయుధాలు	aa y u dh aa l u
ఆయుధాలుగా	aa y u dh aa l u g aa
ఆయుధం	aa y u dh a q
ఆయుధంగా	aa y u dh a q g aa
ఆయుధంతో	aa y u dh a q t oo
ఆయురారోగ్యాలతో	aa y u r aa r oo g y aa l a t oo
ఆయురారోగ్యం	aa y u r aa r oo g y a q
ఆయుర్వేద	aa y u r w ee d a
ఆయుర్వేదిక్	aa y u r w ee d i k
ఆయుర్వేదంలో	aa y u r w ee d a q l oo
ఆయువుపట్టయిన	aa y u w u p a tx tx a y i n a
ఆయుష్షు	aa y u sx sx u
ఆయేల	aa y ee l a
ఆయేషా	aa y ee sx aa
ఆయోగ్	aa y oo g
ఆరచనచాడ	aa r a c a n a c aa dx a
ఆరచరించడానికి	aa r a c a r i q c a dx aa n i k i
ఆరదనలో	aa r a d a n a l oo
ఆరధ్రా	aa r a dh r aa
ఆరా	aa r aa
ఆరాటపడుతుంటారు	aa r aa tx a p a dx u t u q tx aa r u
ఆరాటపడుతుంది	aa r aa tx a p a dx u t u q d i
ఆరాటపడ్డారు	aa r aa tx a p a dx dx aa r u
ఆరాటపడ్డారో	aa r aa tx a p a dx dx aa r oo
ఆరాటం	aa r aa tx a q
ఆరాతీయగా	aa r aa t ii y a g aa
ఆరాధిస్తారు	aa r aa dh i s t aa r u
ఆరాధించేలా	aa r aa dh i q c ee l aa
ఆరాధ్య	aa r aa dh y a
ఆరాంశం	aa r aa q sh a q
ఆరిటికి	aa r i tx i k i
ఆరితేరాడని	aa r i t ee r aa dx a n i
ఆరిపాక	aa r i p aa k a
ఆరిపోతది	aa r i p oo t a d i
ఆరిపోతున్నా	aa r i p oo t u n n aa
ఆరిపోతుంది	aa r i p oo t u q d i
ఆరీఫా	aa r ii ph aa
ఆరు	aa r u
ఆరుగాలం	aa r u g aa l a q
ఆరుగురికి	aa r u g u r i k i
ఆరుగురు	aa r u g u r u
ఆరుగులు	aa r u g u l u
ఆరుగొలలో	aa r u g o l a l oo
ఆరుగంటల	aa r u g a q tx a l a
ఆరుతడి	aa r u t a dx i
ఆరునెలల	aa r u n e l a l a
ఆరునెలలు	aa r u n e l a l u
ఆరునెలల్లో	aa r u n e l a l l oo
ఆరున్నర	aa r u n n a r a
ఆరుమాసాల	aa r u m aa s aa l a
ఆరువేల	aa r u w ee l a
ఆరుసార్లకుపైగా	aa r u s aa r l a k u p ai g aa
ఆరే	aa r ee
ఆరేకల్లు	aa r ee k a l l u
ఆరేళ్ల	aa r ee lx l a
ఆరేళ్లు	aa r ee lx l u
ఆరేసింది	aa r ee s i q d i
ఆరో	aa r oo
ఆరోగ్య	aa r oo g y a
ఆరోగ్యవంతంగా	aa r oo g y a w a q t a q g aa
ఆరోగ్యశాఖ	aa r oo g y a sh aa kh a
ఆరోగ్యశాఖలో	aa r oo g y a sh aa kh a l oo
ఆరోగ్యస్థితి	aa r oo g y a s th i t i
ఆరోగ్యానికి	aa r oo g y aa n i k i
ఆరోగ్యాన్ని	aa r oo g y aa n n i
ఆరోగ్యాలు	aa r oo g y aa l u
ఆరోగ్యం	aa r oo g y a q
ఆరోగ్యంగా	aa r oo g y a q g aa
ఆరోగ్యంపై	aa r oo g y a q p ai
ఆరోజు	aa r oo j u
ఆరోపణ	aa r oo p a nx a
ఆరోపణపై	aa r oo p a nx a p ai
ఆరోపణల	aa r oo p a nx a l a
ఆరోపణలకు	aa r oo p a nx a l a k u
ఆరోపణలతో	aa r oo p a nx a l a t oo
ఆరోపణలను	aa r oo p a nx a l a n u
ఆరోపణలపై	aa r oo p a nx a l a p ai
ఆరోపణలు	aa r oo p a nx a l u
ఆరోపణలున్నాయి	aa r oo p a nx a l u n n aa y i
ఆరోపణలొచ్చాయి	aa r oo p a nx a l o c c aa y i
ఆరోపణాలు	aa r oo p a nx aa l u
ఆరోపిస్తున్న	aa r oo p i s t u n n a
ఆరోపిస్తున్నాయి	aa r oo p i s t u n n aa y i
ఆరోపిస్తున్నారు	aa r oo p i s t u n n aa r u
ఆరోపిస్తుంటారు	aa r oo p i s t u q tx aa r u
ఆరోపిస్తూ	aa r oo p i s t uu
ఆరోపిస్తోంది	aa r oo p i s t oo q d i
ఆరోపించడం	aa r oo p i q c a dx a q
ఆరోపించాయి	aa r oo p i q c aa y i
ఆరోపించారు	aa r oo p i q c aa r u
ఆరోపించిన	aa r oo p i q c i n a
ఆరోపించినట్లు	aa r oo p i q c i n a tx l u
ఆరోపించింది	aa r oo p i q c i q d i
ఆరోపంచారు	aa r oo p a q c aa r u
ఆరం	aa r a q
ఆరంబించినట్లు	aa r a q b i q c i n a tx l u
ఆరంభ	aa r a q bh a
ఆరంభమైంది	aa r a q bh a m ai q d i
ఆరంభం	aa r a q bh a q
ఆరంభంకాలేదు	aa r a q bh a q k aa l ee d u
ఆరంభంలోనే	aa r a q bh a q l oo n ee
ఆర్	aa r
ఆర్ఎస్ఎస్	aa r e s e s
ఆర్కీవ్స్	aa r k ii w s
ఆర్కే	aa r k ee
ఆర్గ్	aa r g
ఆర్చరీ	aa r c a r ii
ఆర్జేడి	aa r j ee dx i
ఆర్టికల్	aa r tx i k a l
ఆర్టిస్టులు	aa r tx i s tx u l u
ఆర్టీసీ	aa r tx ii s ii
ఆర్ట్స్	aa r tx s
ఆర్డర్	aa r dx a r
ఆర్డర్లు	aa r dx a r l u
ఆర్డినెన్సులు	aa r dx i n e n s u l u
ఆర్డినెన్స్	aa r dx i n e n s
ఆర్డీఎస్	aa r dx ii e s
ఆర్డీవో	aa r dx ii w oo
ఆర్తి	aa r t i
ఆర్థిక	aa r th i k a
ఆర్థికమంత్రి	aa r th i k a m a q t r i
ఆర్థికలోటుందని	aa r th i k a l oo tx u q d a n i
ఆర్థికశాఖ	aa r th i k a sh aa kh a
ఆర్థికసాయం	aa r th i k a s aa y a q
ఆర్థికస్తితిని	aa r th i k a s t i t i n i
ఆర్థికస్తితిపై	aa r th i k a s t i t i p ai
ఆర్థికస్తోమత	aa r th i k a s t oo m a t a
ఆర్థికం	aa r th i k a q
ఆర్థికంగా	aa r th i k a q g aa
ఆర్దికంగానే	aa r d i k a q g aa n ee
ఆర్ధిక	aa r dh i k a
ఆర్ధికవ్యవస్థ	aa r dh i k a w y a w a s th a
ఆర్ధికాభివృద్ధి	aa r dh i k aa bh i w rq d dh i
ఆర్ధికంగా	aa r dh i k a q g aa
ఆర్నాల్డ్	aa r n aa l dx
ఆర్పకుండా	aa r p a k u q dx aa
ఆర్పడానికి	aa r p a dx aa n i k i
ఆర్పారు	aa r p aa r u
ఆర్పివేశారు	aa r p i w ee sh aa r u
ఆర్పీ	aa r p ii
ఆర్పుతా	aa r p u t aa
ఆర్పే	aa r p ee
ఆర్పేశారు	aa r p ee sh aa r u
ఆర్పేందుకు	aa r p ee q d u k u
ఆర్పోలేక	aa r p oo l ee k a
ఆర్బాటం	aa r b aa tx a q
ఆర్భాటానికే	aa r bh aa tx aa n i k ee
ఆర్భాటాల	aa r bh aa tx aa l a
ఆర్భాటాలకు	aa r bh aa tx aa l a k u
ఆర్మీ	aa r m ii
ఆర్యవైశ్య	aa r y a w ai sh y a
ఆర్యసమాజ్	aa r y a s a m aa j
ఆర్హత	aa r h a t a
ఆలకిస్తూ	aa l a k i s t uu
ఆలకించాడు	aa l a k i q c aa dx u
ఆలకించు	aa l a k i q c u
ఆలకించండి	aa l a k i q c a q dx i
ఆలనా	aa l a n aa
ఆలపిస్తూ	aa l a p i s t uu
ఆలపించాలి	aa l a p i q c aa l i
ఆలయ	aa l a y a
ఆలయప్రాంగణంలో	aa l a y a p r aa q g a nx a q l oo
ఆలయమైన	aa l a y a m ai n a
ఆలయలో	aa l a y a l oo
ఆలయానికి	aa l a y aa n i k i
ఆలయాల	aa l a y aa l a
ఆలయాలను	aa l a y aa l a n u
ఆలయాలు	aa l a y aa l u
ఆలయాల్లో	aa l a y aa l l oo
ఆలయం	aa l a y a q
ఆలయంకి	aa l a y a q k i
ఆలయంపై	aa l a y a q p ai
ఆలయంలో	aa l a y a q l oo
ఆలయంలోకి	aa l a y a q l oo k i
ఆలయంలోని	aa l a y a q l oo n i
ఆలయంలోనే	aa l a y a q l oo n ee
ఆలవాలయంలో	aa l a w aa l a y a q l oo
ఆలవాలంగా	aa l a w aa l a q g aa
ఆలస్యమన్న	aa l a s y a m a n n a
ఆలస్యమైతే	aa l a s y a m ai t ee
ఆలస్యమైనా	aa l a s y a m ai n aa
ఆలస్యమైందనే	aa l a s y a m ai q d a n ee
ఆలస్యమైంది	aa l a s y a m ai q d i
ఆలస్యం	aa l a s y a q
ఆలస్యంగా	aa l a s y a q g aa
ఆలస్యంపై	aa l a s y a q p ai
ఆలా	aa l aa
ఆలాపించలగలడు	aa l aa p i q c a l a g a l a dx u
ఆలింగనం	aa l i q g a n a q
ఆలు	aa l u
ఆలుగడ్డ	aa l u g a dx dx a
ఆలుగొండ	aa l u g o q dx a
ఆలూ	aa l uu
ఆలూరు	aa l uu r u
ఆలేరు	aa l ee r u
ఆలోకయే	aa l oo k a y ee
ఆలోచన	aa l oo c a n a
ఆలోచనకి	aa l oo c a n a k i
ఆలోచనకు	aa l oo c a n a k u
ఆలోచనతో	aa l oo c a n a t oo
ఆలోచనను	aa l oo c a n a n u
ఆలోచననే	aa l oo c a n a n ee
ఆలోచనలతూ	aa l oo c a n a l a t uu
ఆలోచనలతో	aa l oo c a n a l a t oo
ఆలోచనలతోనే	aa l oo c a n a l a t oo n ee
ఆలోచనలను	aa l oo c a n a l a n u
ఆలోచనలపై	aa l oo c a n a l a p ai
ఆలోచనలు	aa l oo c a n a l u
ఆలోచనలే	aa l oo c a n a l ee
ఆలోచనలో	aa l oo c a n a l oo
ఆలోచనలోనే	aa l oo c a n a l oo n ee
ఆలోచనా	aa l oo c a n aa
ఆలోచనాత్మకంగా	aa l oo c a n aa t m a k a q g aa
ఆలోచనాధోరణిలో	aa l oo c a n aa dh oo r a nx i l oo
ఆలోచనే	aa l oo c a n ee
ఆలోచనైతే	aa l oo c a n ai t ee
ఆలోచన్లో	aa l oo c a n l oo
ఆలోచిస్తన్నాను	aa l oo c i s t a n n aa n u
ఆలోచిస్తము	aa l oo c i s t a m u
ఆలోచిస్తాడు	aa l oo c i s t aa dx u
ఆలోచిస్తాను	aa l oo c i s t aa n u
ఆలోచిస్తారట	aa l oo c i s t aa r a tx a
ఆలోచిస్తారని	aa l oo c i s t aa r a n i
ఆలోచిస్తారన్నారు	aa l oo c i s t aa r a n n aa r u
ఆలోచిస్తారు	aa l oo c i s t aa r u
ఆలోచిస్తారో	aa l oo c i s t aa r oo
ఆలోచిస్తారండి	aa l oo c i s t aa r a q dx i
ఆలోచిస్తావ	aa l oo c i s t aa w a
ఆలోచిస్తాం	aa l oo c i s t aa q
ఆలోచిస్తున్న	aa l oo c i s t u n n a
ఆలోచిస్తున్నట్లు	aa l oo c i s t u n n a tx l u
ఆలోచిస్తున్నాడు	aa l oo c i s t u n n aa dx u
ఆలోచిస్తున్నాను	aa l oo c i s t u n n aa n u
ఆలోచిస్తున్నాము	aa l oo c i s t u n n aa m u
ఆలోచిస్తున్నామో	aa l oo c i s t u n n aa m oo
ఆలోచిస్తున్నారని	aa l oo c i s t u n n aa r a n i
ఆలోచిస్తున్నారా	aa l oo c i s t u n n aa r aa
ఆలోచిస్తున్నారు	aa l oo c i s t u n n aa r u
ఆలోచిస్తున్నారే	aa l oo c i s t u n n aa r ee
ఆలోచిస్తున్నారంటే	aa l oo c i s t u n n aa r a q tx ee
ఆలోచిస్తున్నావా	aa l oo c i s t u n n aa w aa
ఆలోచిస్తున్నాం	aa l oo c i s t u n n aa q
ఆలోచిస్తుంటే	aa l oo c i s t u q tx ee
ఆలోచిస్తుంటేనే	aa l oo c i s t u q tx ee n ee
ఆలోచిస్తూ	aa l oo c i s t uu
ఆలోచిస్తూనే	aa l oo c i s t uu n ee
ఆలోచిస్తే	aa l oo c i s t ee
ఆలోచిస్తోందని	aa l oo c i s t oo q d a n i
ఆలోచిస్సిన్నట్టు	aa l oo c i s s i n n a tx tx u
ఆలోచించ	aa l oo c i q c a
ఆలోచించకుడదు	aa l oo c i q c a k u dx a d u
ఆలోచించకుండా	aa l oo c i q c a k u q dx aa
ఆలోచించకూడదు	aa l oo c i q c a k uu dx a d u
ఆలోచించగలిగితే	aa l oo c i q c a g a l i g i t ee
